year,month,mean_covid19_confirmed,median_covid19_confirmed,mean_covid19_deaths,median_covid19_deaths,mean_google_trends1,mean_google_trends2,mean_google_trends3,mean_google_trends4,mean_google_trends5,mean_google_trends6
2020,1,0.2,0.0,0.0,0.0,44.25,13.0,9.25,30.0,78.5,32.75
2020,2,2.0,2.0,0.0,0.0,39.75,8.25,0.0,22.0,76.25,18.0
2020,3,394.3225806451613,90.0,1.7419354838709677,0.0,37.8,34.8,0.0,29.4,81.6,55.4
2020,4,37647.9,26214.0,337.43333333333334,215.0,43.75,13.25,0.0,28.25,77.25,64.0
2020,5,266357.8387096774,272043.0,2655.2580645161293,2537.0,48.4,13.4,3.0,32.6,77.4,49.6
2020,6,536585.9666666667,540604.5,7175.6,7177.5,30.75,27.75,12.5,39.0,82.75,56.25
2020,7,749452.9354838709,751612.0,11821.838709677419,11920.0,40.0,17.25,24.75,45.25,91.0,63.5
2020,8,919614.3225806452,920719.0,15617.290322580646,15653.0,47.4,38.2,0.0,34.0,88.2,45.4
2020,9,1076304.6666666667,1072679.0,18855.8,18788.0,31.75,45.75,0.0,45.75,83.5,54.25
2020,10,1372566.2903225806,1361317.0,23809.8064516129,23580.0,30.75,14.25,14.75,47.25,82.25,45.75
2020,11,1930847.3,1921430.0,33336.46666666667,33034.5,43.4,14.0,0.0,49.6,83.8,49.8
2020,12,2712973.6129032257,2708940.0,48077.93548387097,47994.0,45.5,31.0,6.75,50.0,85.0,34.0
2021,1,3497497.064516129,3507201.0,64220.67741935484,64134.0,58.0,24.6,10.0,45.4,81.2,50.4
2021,2,4025461.1071428573,4033505.5,78855.10714285714,79017.5,36.5,7.25,0.0,47.75,75.0,40.25
2021,3,4357693.677419355,4360033.0,91300.03225806452,91395.0,32.0,35.75,4.0,54.75,82.75,38.0
2021,4,4627236.766666667,4626900.0,102917.7,102863.0,30.5,22.5,10.5,46.25,71.75,41.0
2021,5,4884607.774193549,4883734.0,113968.96774193548,113927.0,29.4,6.4,3.4,45.0,70.2,40.4
2021,6,5202175.5,5182655.5,125682.1,125249.0,35.25,16.75,8.5,58.25,75.0,33.0
2021,7,5832512.322580645,5835523.0,144531.5806451613,144446.0,36.25,29.25,9.0,58.5,78.0,45.75
2021,8,6525450.354838709,6531585.0,168349.64516129033,168384.0,39.8,11.8,10.8,64.4,81.4,32.8
2021,9,7108573.7,7101012.0,192035.63333333333,191953.0,41.75,13.25,11.0,54.0,72.5,47.75
2021,10,7861374.548387097,7837101.0,218663.03225806452,218362.0,33.0,6.4,9.6,53.8,70.2,44.0
2021,11,8961615.5,8973942.0,252491.33333333334,252402.5,35.0,19.0,0.0,53.75,69.5,44.25
2021,12,9940312.967741935,9955308.0,287704.4516129032,288240.0,38.5,24.5,17.0,54.25,65.75,40.5
2022,1,10749194.290322581,10621410.0,314559.0,314838.0,29.4,5.4,8.4,54.2,72.0,49.4
2022,2,14100958.67857143,14185305.5,334697.35714285716,334439.0,32.0,6.75,0.0,55.25,67.0,39.5
2022,3,17106977.612903226,17196841.0,354588.0,355267.0,42.75,9.25,0.0,67.5,71.75,40.5
2022,4,17782594.233333334,17795657.0,365411.0,365657.0,44.0,13.5,10.25,54.25,66.75,45.5
2022,5,17997428.677419353,17998438.0,370092.7419354839,370145.0,32.6,0.0,11.6,62.4,62.8,35.4
2022,6,18117335.433333334,18118303.0,372527.6,372547.0,44.0,13.0,0.0,68.0,66.75,21.0
2022,7,18226044.903225806,18216026.0,374090.7419354839,374102.0,40.0,19.2,4.0,82.0,74.8,40.2
2022,8,18623921.384615384,18593007.5,375362.26923076925,375333.0,51.333333333333336,38.333333333333336,10.0,70.66666666666667,74.66666666666667,30.0
