<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURCB,M,010120,000000,69.3777000,69.3777000,69.3777000,69.3777000,0
EURCB,M,010220,000000,69.5976000,73.7235000,68.6201000,73.7235000,0
EURCB,M,010320,000000,73.4178000,87.2669000,73.4178000,85.7389000,0
EURCB,M,010420,000000,82.6346000,83.6826000,80.0488000,80.0488000,0
EURCB,M,010520,000000,79.1189000,80.0611000,77.7854000,78.5489000,0
EURCB,M,010620,000000,77.6376000,79.1451000,76.6243000,78.6812000,0
EURCB,M,010720,000000,78.9929000,86.2532000,78.9929000,86.2532000,0
EURCB,M,010820,000000,87.2889000,89.2254000,85.9246000,88.7448000,0
EURCB,M,010920,000000,87.8266000,93.0237000,87.7369000,93.0237000,0
EURCB,M,011020,000000,92.4302000,92.6284000,90.3552000,92.6284000,0
EURCB,M,011120,000000,93.7570000,93.7570000,89.8880000,90.4629000,0
EURCB,M,011220,000000,91.2037000,92.0699000,88.5847000,90.6824000,0
EURCB,M,010121,000000,90.7932000,92.2963000,88.9677000,92.2963000,0
EURCB,M,010221,000000,91.5426000,91.6250000,88.8700000,90.3743000,0
EURCB,M,010321,000000,89.4461000,90.0515000,86.9693000,88.8821000,0
EURCB,M,010421,000000,88.7452000,92.3321000,88.7452000,90.1513000,0
EURCB,M,010521,000000,90.5850000,90.5850000,89.5060000,89.6731000,0
EURCB,M,010621,000000,89.3778000,89.6895000,85.9943000,86.2026000,0
EURCB,M,010721,000000,86.5118000,88.7755000,86.4113000,86.9913000,0
EURCB,M,010821,000000,86.7717000,87.0576000,86.1210000,86.8104000,0
EURCB,M,010921,000000,86.6660000,86.9114000,84.6752000,84.8755000,0
EURCB,M,011021,000000,84.3050000,84.6355000,80.7019000,82.2898000,0
EURCB,M,011121,000000,82.1687000,84.9526000,81.6552000,84.4820000,0
EURCB,M,011221,000000,84.8234000,84.8234000,82.8299000,84.0695000,0
EURCB,M,010122,000000,85.1315000,89.1511000,84.6709000,86.6419000,0
EURCB,M,010222,000000,86.5032000,97.7688000,85.3060000,93.5994000,0
EURCB,M,010322,000000,104.4772000,132.9581000,93.6960000,93.6960000,0
EURCB,M,010422,000000,92.4930000,92.4930000,74.5589000,74.5589000,0
EURCB,M,010522,000000,72.7815000,72.7815000,57.9210000,64.7170000,0
EURCB,M,010622,000000,62.7397000,65.9191000,53.8580000,53.8580000,0
EURCB,M,010722,000000,54.6405000,64.3260000,54.6405000,62.5695000,0
EURCB,M,010822,000000,63.2468000,63.2468000,59.3304000,59.8784000,0
