<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,M,010120,000000,259.1000000,261.9000000,226.5700000,226.7000000,941266050
GAZP,M,010220,000000,223.8100000,239.8000000,200.5700000,202.6500000,1064060300
GAZP,M,010320,000000,207.9900000,211.9900000,158.1700000,181.4100000,2267423190
GAZP,M,010420,000000,178.0500000,196.2600000,177.5000000,190.0000000,1149784400
GAZP,M,010520,000000,188.0000000,202.3000000,181.6800000,199.9500000,1117376460
GAZP,M,010620,000000,200.2500000,208.1500000,190.5100000,194.3100000,947698380
GAZP,M,010720,000000,195.3100000,202.3300000,179.8000000,182.5900000,840088070
GAZP,M,010820,000000,182.5100000,194.6800000,180.5100000,181.0100000,763069970
GAZP,M,010920,000000,181.4000000,186.2900000,169.6000000,169.9700000,1035378920
GAZP,M,011020,000000,171.1800000,173.4100000,153.7000000,154.2800000,1024349870
GAZP,M,011120,000000,153.9600000,189.1000000,151.9000000,181.8900000,1358047580
GAZP,M,011220,000000,182.6000000,215.3800000,181.7800000,212.9800000,1602488520
GAZP,M,010121,000000,212.7100000,231.4400000,210.2200000,212.8300000,1261779620
GAZP,M,010221,000000,214.6100000,233.3500000,212.2400000,217.5600000,1009756230
GAZP,M,010321,000000,219.3400000,238.2300000,218.2500000,227.2400000,944427050
GAZP,M,010421,000000,228.4300000,237.4500000,219.6000000,231.3800000,853262960
GAZP,M,010521,000000,232.2000000,268.3800000,230.9600000,261.0300000,879342720
GAZP,M,010621,000000,261.9700000,281.8200000,261.5800000,281.8000000,912730080
GAZP,M,010721,000000,281.8800000,298.4800000,273.1000000,287.3500000,938803890
GAZP,M,010821,000000,287.8800000,307.6700000,277.8700000,305.6500000,945631030
GAZP,M,010921,000000,306.6000000,364.5300000,306.1900000,360.8000000,1525970690
GAZP,M,011021,000000,358.4500000,397.6400000,345.4000000,350.1800000,1592270650
GAZP,M,011121,000000,350.3000000,360.0000000,310.6200000,334.2400000,1609001830
GAZP,M,011221,000000,338.5700000,353.1300000,289.7800000,342.3900000,1614694140
GAZP,M,010122,000000,345.0100000,358.1000000,280.6000000,334.8000000,2326513210
GAZP,M,010222,000000,334.9400000,339.9800000,126.5300000,228.0000000,2515583630
GAZP,M,010322,000000,251.4100000,278.9000000,206.0000000,242.4800000,333179180
GAZP,M,010422,000000,245.9000000,259.9900000,201.1200000,240.4000000,644243080
GAZP,M,010522,000000,241.0100000,305.0000000,227.2200000,293.7500000,673649490
GAZP,M,010622,000000,293.5100000,322.9900000,200.0000000,207.0000000,899752640
GAZP,M,010722,000000,200.8400000,205.7800000,181.2000000,195.2600000,840519840
GAZP,M,010822,000000,194.5000000,194.6900000,172.2900000,183.6200000,431979910
