<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,M,010120,000000,255.9700000,270.8000000,251.4000000,252.2000000,745103430
SBER,M,010220,000000,251.8000000,259.7700000,231.0000000,233.3600000,915734170
SBER,M,010320,000000,238.5500000,241.0000000,172.1500000,187.2100000,2993191110
SBER,M,010420,000000,183.2000000,205.4400000,182.0000000,197.2500000,1764475550
SBER,M,010520,000000,195.6800000,205.0000000,183.3300000,200.5000000,1356212500
SBER,M,010620,000000,203.1000000,223.1500000,200.7500000,203.2200000,1517022880
SBER,M,010720,000000,205.0100000,221.9800000,197.7300000,221.5700000,1085909540
SBER,M,010820,000000,222.2700000,244.0400000,221.3000000,226.1000000,1323419970
SBER,M,010920,000000,226.7100000,232.6000000,215.7900000,229.1400000,1399555760
SBER,M,011020,000000,229.1400000,229.9000000,200.5000000,200.9900000,1485720760
SBER,M,011120,000000,200.4400000,252.8800000,196.1500000,249.6300000,2308248000
SBER,M,011220,000000,250.7100000,287.7400000,249.8000000,271.6500000,1658371850
SBER,M,010121,000000,274.6700000,296.0700000,257.3600000,258.1100000,1469032080
SBER,M,010221,000000,260.0000000,276.4800000,258.5500000,270.1700000,1288972520
SBER,M,010321,000000,273.0000000,295.7200000,271.1300000,291.0200000,1362873010
SBER,M,010421,000000,292.0000000,301.8400000,278.0000000,297.7300000,1205253110
SBER,M,010521,000000,298.7000000,320.1900000,293.0000000,310.7900000,978132530
SBER,M,010621,000000,312.6000000,316.5800000,303.3400000,306.4500000,698700260
SBER,M,010721,000000,306.1900000,308.3700000,290.0300000,305.5900000,604314570
SBER,M,010821,000000,306.3100000,338.9900000,306.0600000,327.9400000,752229330
SBER,M,010921,000000,328.8700000,342.2000000,322.3900000,340.9900000,803141320
SBER,M,011021,000000,339.2100000,388.1100000,336.0800000,356.1400000,983995470
SBER,M,011121,000000,356.1400000,374.0000000,300.1000000,315.0000000,1401061380
SBER,M,011221,000000,321.3500000,329.4400000,261.5000000,293.4900000,1995340960
SBER,M,010122,000000,295.9000000,310.1000000,221.0300000,269.4200000,4241223320
SBER,M,010222,000000,269.7100000,282.3000000,89.5900000,131.1200000,6064909530
SBER,M,010322,000000,131.0000000,156.2000000,122.0000000,143.6900000,469662380
SBER,M,010422,000000,144.9900000,169.9000000,111.5000000,128.8000000,1589852680
SBER,M,010522,000000,129.1000000,131.5000000,117.1000000,118.3000000,707411300
SBER,M,010622,000000,117.5000000,142.3500000,115.8000000,125.2000000,1068202950
SBER,M,010722,000000,124.5000000,137.1000000,122.2400000,131.9000000,939492770
SBER,M,010822,000000,131.7700000,131.7700000,122.2400000,130.4000000,713396010
