<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDCB,M,010120,000000,61.9057000,61.9057000,61.9057000,61.9057000,0
USDCB,M,010220,000000,63.1385000,66.9909000,62.7977000,66.9909000,0
USDCB,M,010320,000000,66.3274000,80.8815000,66.0784000,77.7325000,0
USDCB,M,010420,000000,76.4074000,77.0416000,73.3150000,73.6894000,0
USDCB,M,010520,000000,72.7263000,74.1169000,70.7520000,70.7520000,0
USDCB,M,010620,000000,69.7114000,70.3950000,68.3123000,69.9513000,0
USDCB,M,010720,000000,70.4413000,73.3633000,70.4413000,73.3633000,0
USDCB,M,010820,000000,73.4261000,75.5379000,72.9676000,74.6382000,0
USDCB,M,010920,000000,73.8039000,79.6845000,73.5849000,79.6845000,0
USDCB,M,011020,000000,78.7847000,79.3323000,76.4443000,79.3323000,0
USDCB,M,011120,000000,80.5749000,80.5749000,75.4518000,75.8599000,0
USDCB,M,011220,000000,76.1999000,76.3203000,72.9272000,73.8757000,0
USDCB,M,010121,000000,73.8757000,76.2527000,73.3550000,76.2527000,0
USDCB,M,010221,000000,75.5053000,76.0801000,73.2895000,74.4373000,0
USDCB,M,010321,000000,74.0448000,76.1741000,72.9619000,75.7023000,0
USDCB,M,010421,000000,75.6373000,77.7730000,74.3823000,74.3823000,0
USDCB,M,010521,000000,74.8451000,75.2567000,73.3963000,73.5870000,0
USDCB,M,010621,000000,73.2965000,73.4979000,71.6797000,72.3723000,0
USDCB,M,010721,000000,72.7234000,75.1952000,72.7234000,73.1388000,0
USDCB,M,010821,000000,73.0156000,74.3640000,72.7857000,73.5744000,0
USDCB,M,010921,000000,73.2781000,73.4421000,72.4329000,72.7608000,0
USDCB,M,011021,000000,72.6642000,72.9239000,69.5526000,70.5200000,0
USDCB,M,011121,000000,71.0863000,75.5873000,70.6950000,74.9818000,0
USDCB,M,011221,000000,74.8926000,74.8926000,73.1886000,74.2926000,0
USDCB,M,010122,000000,75.1315000,78.9470000,74.5277000,77.8174000,0
USDCB,M,010222,000000,77.4702000,86.9288000,74.7241000,83.5485000,0
USDCB,M,010322,000000,93.5589000,120.3785000,84.0851000,84.0851000,0
USDCB,M,010422,000000,83.4097000,83.5932000,71.0237000,71.0237000,0
USDCB,M,010522,000000,69.4160000,69.4160000,56.2996000,63.0975000,0
USDCB,M,010622,000000,61.6069000,61.9659000,51.1580000,51.1580000,0
USDCB,M,010722,000000,52.5123000,63.1427000,52.5123000,61.3101000,0
USDCB,M,010822,000000,62.0506000,62.0506000,59.1321000,60.0924000,0
