<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VTBR,M,010120,000000,0.0461050,0.0502500,0.0459300,0.0464000,797200820000
VTBR,M,010220,000000,0.0460600,0.0485000,0.0424300,0.0433300,596440670000
VTBR,M,010320,000000,0.0441400,0.0444400,0.0276000,0.0326000,1734503000000
VTBR,M,010420,000000,0.0317300,0.0371250,0.0311750,0.0349000,1418673550000
VTBR,M,010520,000000,0.0345100,0.0363100,0.0339150,0.0363100,551606450000
VTBR,M,010620,000000,0.0364050,0.0379800,0.0348450,0.0350500,642500600000
VTBR,M,010720,000000,0.0351400,0.0395150,0.0341800,0.0387550,871011970000
VTBR,M,010820,000000,0.0388400,0.0407250,0.0350550,0.0353750,993738070000
VTBR,M,010920,000000,0.0354350,0.0363450,0.0336300,0.0344750,552533100000
VTBR,M,011020,000000,0.0346500,0.0351450,0.0315000,0.0326650,683274750000
VTBR,M,011120,000000,0.0326000,0.0382000,0.0321000,0.0372100,1098852100000
VTBR,M,011220,000000,0.0373850,0.0389400,0.0365150,0.0378950,761572750000
VTBR,M,010121,000000,0.0380250,0.0414400,0.0364000,0.0366350,669291610000
VTBR,M,010221,000000,0.0368050,0.0384250,0.0366350,0.0370750,420442620000
VTBR,M,010321,000000,0.0372600,0.0428900,0.0368500,0.0427150,680948330000
VTBR,M,010421,000000,0.0430100,0.0521600,0.0420700,0.0516000,1580647650000
VTBR,M,010521,000000,0.0518900,0.0556550,0.0441100,0.0487500,2134221620000
VTBR,M,010621,000000,0.0489000,0.0513600,0.0463300,0.0484750,1264407620000
VTBR,M,010721,000000,0.0485650,0.0508750,0.0456850,0.0484600,954152160000
VTBR,M,010821,000000,0.0489000,0.0534000,0.0481000,0.0526900,978321930000
VTBR,M,010921,000000,0.0529500,0.0548400,0.0494000,0.0516700,1010902970000
VTBR,M,011021,000000,0.0512000,0.0575000,0.0508300,0.0527300,1458245690000
VTBR,M,011121,000000,0.0527500,0.0537200,0.0464400,0.0471950,1506197810000
VTBR,M,011221,000000,0.0477450,0.0492650,0.0390900,0.0481950,1395580950000
VTBR,M,010122,000000,0.0483500,0.0508600,0.0395500,0.0437800,2092234100000
VTBR,M,010222,000000,0.0438000,0.0440950,0.0163900,0.0201100,2922070410000
VTBR,M,010322,000000,0.0181100,0.0217700,0.0159950,0.0198000,519814530000
VTBR,M,010422,000000,0.0205000,0.0263600,0.0178600,0.0200950,2028080330000
VTBR,M,010522,000000,0.0200850,0.0204950,0.0181000,0.0183100,431765110000
VTBR,M,010622,000000,0.0182400,0.0195300,0.0167500,0.0177800,736876820000
VTBR,M,010722,000000,0.0177050,0.0191000,0.0173150,0.0185850,566718090000
VTBR,M,010822,000000,0.0185950,0.0186150,0.0174550,0.0182400,387886650000
