<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,M,010120,000000,6203.5000000,6810.0000000,6185.0000000,6550.5000000,18167767
LKOH,M,010220,000000,6519.5000000,6633.0000000,5607.0000000,5699.5000000,22211874
LKOH,M,010320,000000,5816.0000000,5996.0000000,3663.0000000,4715.0000000,65098403
LKOH,M,010420,000000,4595.0000000,5364.0000000,4281.0000000,4826.5000000,52534467
LKOH,M,010520,000000,4787.0000000,5548.0000000,4733.0000000,5242.5000000,32357382
LKOH,M,010620,000000,5347.5000000,5566.5000000,5120.0000000,5313.0000000,27244260
LKOH,M,010720,000000,5338.0000000,5512.0000000,4784.0000000,5087.5000000,26195394
LKOH,M,010820,000000,5072.0000000,5387.0000000,4960.0000000,4991.0000000,19157759
LKOH,M,010920,000000,5009.5000000,5016.0000000,4410.0000000,4470.0000000,30028651
LKOH,M,011020,000000,4489.0000000,4563.5000000,3961.0000000,4050.0000000,24323978
LKOH,M,011120,000000,4020.0000000,5400.0000000,3992.0000000,5063.0000000,39808426
LKOH,M,011220,000000,5072.0000000,5494.0000000,4938.5000000,5169.5000000,33020517
LKOH,M,010121,000000,5232.0000000,5995.0000000,5180.0000000,5377.0000000,30619365
LKOH,M,010221,000000,5417.5000000,5930.0000000,5296.5000000,5575.5000000,27536759
LKOH,M,010321,000000,5623.0000000,6480.0000000,5590.5000000,6111.5000000,34254254
LKOH,M,010421,000000,6152.5000000,6189.0000000,5760.0000000,5805.0000000,21968764
LKOH,M,010521,000000,5815.0000000,6205.0000000,5681.0000000,5993.0000000,23146419
LKOH,M,010621,000000,6023.5000000,6867.0000000,6017.0000000,6762.5000000,27226693
LKOH,M,010721,000000,6770.0000000,7013.0000000,6205.0000000,6299.0000000,19577068
LKOH,M,010821,000000,6308.5000000,6615.0000000,6110.5000000,6283.5000000,17897810
LKOH,M,010921,000000,6302.0000000,7141.5000000,6246.5000000,6903.5000000,23729356
LKOH,M,011021,000000,6863.5000000,7525.0000000,6835.0000000,7272.5000000,22254211
LKOH,M,011121,000000,7261.0000000,7394.0000000,6335.5000000,6513.0000000,25293787
LKOH,M,011221,000000,6600.0000000,6784.5000000,5912.5000000,6573.0000000,27726610
LKOH,M,010122,000000,6594.0000000,6969.0000000,6020.0000000,6878.0000000,35231162
LKOH,M,010222,000000,6878.0000000,7110.0000000,3019.5000000,4915.0000000,37498281
LKOH,M,010322,000000,5315.0000000,5993.0000000,4800.0000000,5680.0000000,3677905
LKOH,M,010422,000000,5668.5000000,5868.0000000,3682.0000000,4699.5000000,11646634
LKOH,M,010522,000000,4746.0000000,4772.5000000,3882.0000000,4061.5000000,7268139
LKOH,M,010622,000000,4050.0000000,4326.0000000,3816.0000000,3905.0000000,10038699
LKOH,M,010722,000000,3915.0000000,4150.0000000,3482.5000000,3877.0000000,9559597
LKOH,M,010822,000000,3883.0000000,4143.5000000,3659.5000000,4115.0000000,8662964
