<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,M,010120,000000,321.0000000,336.4500000,315.4000000,326.4000000,55645410
MTSS,M,010220,000000,325.5000000,353.0500000,307.2500000,320.5000000,63976100
MTSS,M,010320,000000,329.1000000,335.4000000,250.5500000,299.1000000,181106510
MTSS,M,010420,000000,297.5500000,323.9500000,293.5000000,319.6000000,101477130
MTSS,M,010520,000000,315.0500000,339.8500000,312.3500000,320.0000000,72150040
MTSS,M,010620,000000,322.9500000,333.5000000,316.8500000,330.4500000,112637400
MTSS,M,010720,000000,331.3500000,339.6000000,312.5000000,327.5500000,99443210
MTSS,M,010820,000000,327.9000000,349.7000000,326.5500000,335.9000000,83683320
MTSS,M,010920,000000,337.4000000,346.2000000,328.2000000,338.7000000,70511020
MTSS,M,011020,000000,340.2500000,344.9500000,308.2000000,311.6000000,84761270
MTSS,M,011120,000000,311.7500000,328.3000000,308.2000000,321.6500000,89508680
MTSS,M,011220,000000,321.8000000,332.0500000,316.2000000,331.2000000,84678390
MTSS,M,010121,000000,331.9000000,340.1000000,325.0000000,328.8500000,57178450
MTSS,M,010221,000000,330.0000000,338.1000000,311.8000000,313.0500000,59849370
MTSS,M,010321,000000,314.7500000,326.0000000,313.0500000,316.2000000,122273020
MTSS,M,010421,000000,316.4500000,325.9000000,315.0000000,320.6000000,89268970
MTSS,M,010521,000000,321.3000000,339.3500000,317.3500000,338.7500000,70394170
MTSS,M,010621,000000,338.9500000,346.3500000,336.6500000,341.3000000,70961000
MTSS,M,010721,000000,341.3500000,350.9500000,314.2000000,316.1000000,99372060
MTSS,M,010821,000000,316.8500000,332.4000000,315.6500000,330.1500000,69455930
MTSS,M,010921,000000,330.3500000,334.4000000,325.8000000,330.1000000,77798210
MTSS,M,011021,000000,329.6000000,330.4500000,310.0000000,311.3500000,77622020
MTSS,M,011121,000000,311.4500000,318.7500000,291.0000000,293.7500000,69813110
MTSS,M,011221,000000,294.1500000,300.6000000,265.7000000,298.9000000,73895890
MTSS,M,010122,000000,299.0000000,306.5000000,263.3000000,287.4000000,92645270
MTSS,M,010222,000000,288.4500000,294.9000000,155.0000000,217.5000000,97227670
MTSS,M,010322,000000,200.0000000,248.0000000,171.5000000,238.6500000,17318770
MTSS,M,010422,000000,238.6000000,248.1000000,181.6500000,209.0500000,30432050
MTSS,M,010522,000000,209.1000000,282.9000000,198.3000000,254.9500000,37533270
MTSS,M,010622,000000,254.9500000,281.4000000,252.7500000,273.7000000,29627750
MTSS,M,010722,000000,272.0000000,281.4500000,226.0000000,243.4500000,39566440
MTSS,M,010822,000000,244.0500000,252.2000000,230.1500000,240.1000000,24521810
