<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
POLY,M,010120,000000,976.2000000,1082.2000000,943.0000000,1082.2000000,6873214
POLY,M,010220,000000,1086.7000000,1175.0000000,980.1000000,1025.1000000,10252199
POLY,M,010320,000000,1055.1000000,1398.7000000,907.3000000,1354.4000000,23712520
POLY,M,010420,000000,1345.0000000,1597.8000000,1270.0000000,1535.6000000,21938176
POLY,M,010520,000000,1536.0000000,1560.8000000,1383.6000000,1413.5000000,15105664
POLY,M,010620,000000,1435.2000000,1437.6000000,1200.0000000,1392.8000000,20721151
POLY,M,010720,000000,1383.0000000,1873.0000000,1343.0000000,1849.8000000,25443632
POLY,M,010820,000000,1859.4000000,2084.5000000,1786.3000000,2004.9000000,20044930
POLY,M,010920,000000,2035.0000000,2061.3000000,1584.2000000,1680.0000000,36279863
POLY,M,011020,000000,1694.7000000,1819.8000000,1530.0000000,1672.3000000,21084609
POLY,M,011120,000000,1687.8000000,1979.1000000,1567.0000000,1593.0000000,37772544
POLY,M,011220,000000,1604.5000000,1758.0000000,1589.0000000,1735.1000000,27365533
POLY,M,010121,000000,1756.5000000,1869.8000000,1618.0000000,1640.1000000,31500932
POLY,M,010221,000000,1690.5000000,1778.0000000,1477.0000000,1503.0000000,33934613
POLY,M,010321,000000,1517.0000000,1567.7000000,1445.5000000,1484.0000000,28727876
POLY,M,010421,000000,1485.4000000,1730.0000000,1485.4000000,1566.1000000,31833993
POLY,M,010521,000000,1589.8000000,1807.0000000,1581.6000000,1746.6000000,47582253
POLY,M,010621,000000,1760.0000000,1802.0000000,1557.0000000,1598.2000000,28593309
POLY,M,010721,000000,1599.0000000,1666.0000000,1523.5000000,1592.4000000,20069994
POLY,M,010821,000000,1590.0000000,1612.3000000,1461.8000000,1472.5000000,23628496
POLY,M,010921,000000,1472.7000000,1488.0000000,1199.6000000,1247.2000000,39394064
POLY,M,011021,000000,1245.0000000,1382.0000000,1208.8000000,1317.0000000,41666747
POLY,M,011121,000000,1323.2000000,1488.9000000,1300.2000000,1356.8000000,41025228
POLY,M,011221,000000,1367.0000000,1374.8000000,1200.0000000,1311.9000000,27518024
POLY,M,010122,000000,1313.5000000,1330.5000000,1093.0000000,1108.7000000,40272731
POLY,M,010222,000000,1111.0000000,1257.9000000,680.2000000,837.0000000,54448737
POLY,M,010322,000000,853.0000000,1038.7000000,760.0000000,973.0000000,3009449
POLY,M,010422,000000,976.0000000,999.0000000,680.0000000,721.5000000,8208444
POLY,M,010522,000000,723.9000000,769.9000000,525.0000000,564.1000000,5353530
POLY,M,010622,000000,565.0000000,582.1000000,372.0000000,377.5000000,11383254
POLY,M,010722,000000,375.5000000,388.6000000,211.1000000,270.0000000,39712083
POLY,M,010822,000000,271.1000000,397.7000000,250.7000000,377.5000000,42996732
