<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTKMP,M,010120,000000,70.0000000,81.6000000,70.0000000,77.8000000,9198510
RTKMP,M,010220,000000,77.5500000,83.4000000,72.6000000,76.5500000,6718940
RTKMP,M,010320,000000,77.2000000,79.2000000,57.0000000,64.4500000,20357890
RTKMP,M,010420,000000,63.2000000,73.0000000,62.3500000,71.1000000,15838520
RTKMP,M,010520,000000,70.8000000,75.4000000,68.9500000,74.3000000,6786060
RTKMP,M,010620,000000,74.3000000,81.0000000,73.5500000,78.0500000,6063250
RTKMP,M,010720,000000,78.6000000,86.5000000,77.8500000,85.3000000,9254970
RTKMP,M,010820,000000,85.7000000,96.3500000,85.0500000,88.4500000,21874720
RTKMP,M,010920,000000,88.5500000,90.2500000,83.2000000,88.6000000,7328660
RTKMP,M,011020,000000,88.8000000,89.1500000,81.0000000,82.0000000,5095890
RTKMP,M,011120,000000,81.6000000,88.8000000,80.0000000,86.0000000,5992090
RTKMP,M,011220,000000,85.7500000,88.4500000,82.6500000,85.6000000,6961530
RTKMP,M,010121,000000,86.3000000,92.5500000,85.6500000,90.3500000,8436860
RTKMP,M,010221,000000,91.0000000,95.0000000,89.5500000,92.6000000,5608490
RTKMP,M,010321,000000,92.5000000,93.9000000,89.8000000,90.9000000,7098570
RTKMP,M,010421,000000,91.2000000,92.9000000,89.3000000,90.4500000,5346750
RTKMP,M,010521,000000,90.4000000,93.0000000,89.5500000,91.1000000,3647720
RTKMP,M,010621,000000,91.0000000,93.1500000,90.1500000,91.0500000,3773430
RTKMP,M,010721,000000,90.9500000,94.0000000,84.0500000,85.0500000,7189290
RTKMP,M,010821,000000,85.5500000,88.9500000,84.4000000,85.4500000,4458170
RTKMP,M,010921,000000,85.4500000,86.2500000,82.6500000,84.0500000,5227080
RTKMP,M,011021,000000,83.9500000,87.9500000,83.1000000,84.4500000,3539620
RTKMP,M,011121,000000,84.9000000,85.7000000,78.1500000,78.3500000,5297910
RTKMP,M,011221,000000,78.8000000,80.3000000,74.2500000,76.1500000,5921420
RTKMP,M,010122,000000,76.1500000,78.2500000,64.5000000,71.1500000,8591030
RTKMP,M,010222,000000,70.6500000,71.7500000,43.6000000,58.7000000,5714980
RTKMP,M,010322,000000,59.1500000,66.0000000,53.7500000,65.1000000,2264010
RTKMP,M,010422,000000,65.1000000,67.8000000,56.8000000,59.8000000,4574670
RTKMP,M,010522,000000,59.2000000,63.2500000,55.8500000,58.3000000,2969570
RTKMP,M,010622,000000,58.4000000,64.6000000,56.8000000,61.4000000,4037230
RTKMP,M,010722,000000,62.1000000,66.5000000,57.7500000,60.9500000,5675580
RTKMP,M,010822,000000,60.9000000,62.1000000,58.4000000,60.6000000,2062350
