<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTKM,M,010120,000000,78.7600000,89.9100000,78.3600000,88.0000000,66952750
RTKM,M,010220,000000,87.5300000,92.0200000,79.8900000,86.6800000,49410070
RTKM,M,010320,000000,86.8900000,88.5500000,62.1600000,74.0000000,131336290
RTKM,M,010420,000000,73.9000000,83.7800000,71.1800000,82.1000000,88542510
RTKM,M,010520,000000,81.3700000,83.9000000,79.3900000,82.9200000,47743530
RTKM,M,010620,000000,83.1000000,90.3700000,80.6700000,87.7000000,76285340
RTKM,M,010720,000000,88.2000000,91.9100000,84.0800000,89.8800000,45966060
RTKM,M,010820,000000,90.2800000,101.7900000,90.2000000,96.6300000,94244010
RTKM,M,010920,000000,96.8000000,100.3500000,93.6200000,98.4100000,63704360
RTKM,M,011020,000000,98.5000000,98.7000000,90.6200000,92.3800000,50410380
RTKM,M,011120,000000,92.4000000,98.0000000,91.1200000,95.6700000,53874120
RTKM,M,011220,000000,95.8400000,98.1200000,92.1000000,96.5200000,48817040
RTKM,M,010121,000000,97.1100000,106.2600000,96.4100000,101.0300000,76741510
RTKM,M,010221,000000,101.5300000,111.0000000,100.0700000,108.8500000,53425220
RTKM,M,010321,000000,109.1100000,111.9000000,105.3100000,107.4000000,65509020
RTKM,M,010421,000000,107.4500000,109.2800000,103.2100000,104.0000000,43504230
RTKM,M,010521,000000,103.7000000,108.6700000,101.2200000,103.1600000,43586870
RTKM,M,010621,000000,103.3300000,105.3700000,99.7800000,102.0000000,41732840
RTKM,M,010721,000000,101.8000000,103.7400000,91.9600000,93.5100000,49611580
RTKM,M,010821,000000,93.8300000,98.4300000,92.6500000,94.3000000,44425060
RTKM,M,010921,000000,94.5300000,96.3100000,90.1000000,90.5200000,46154120
RTKM,M,011021,000000,90.5000000,97.4000000,88.7000000,93.2500000,45322130
RTKM,M,011121,000000,93.1900000,94.2500000,84.0200000,84.8000000,48763050
RTKM,M,011221,000000,85.1900000,90.4600000,80.0600000,86.6300000,48159780
RTKM,M,010122,000000,86.7900000,87.3500000,70.0700000,75.0600000,66512070
RTKM,M,010222,000000,75.2900000,75.7500000,45.4500000,62.2700000,83137290
RTKM,M,010322,000000,59.2700000,73.9500000,58.0600000,66.6000000,12367210
RTKM,M,010422,000000,67.8800000,69.8700000,56.5500000,60.3900000,28925690
RTKM,M,010522,000000,60.2500000,61.9700000,56.1200000,57.9000000,12989810
RTKM,M,010622,000000,57.9900000,67.5000000,56.6400000,63.8100000,25126260
RTKM,M,010722,000000,63.0100000,67.7800000,59.1200000,60.9600000,26304160
RTKM,M,010822,000000,60.6500000,62.4900000,57.5000000,60.3400000,19001330
