<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,M,010120,000000,2712.2000000,2913.0000000,2636.2000000,2873.4000000,9163315
YNDX,M,010220,000000,2856.8000000,3143.0000000,2538.4000000,2659.8000000,17068075
YNDX,M,010320,000000,2732.8000000,2784.8000000,2241.2000000,2714.4000000,23637237
YNDX,M,010420,000000,2653.0000000,2924.0000000,2493.8000000,2850.8000000,16920207
YNDX,M,010520,000000,2809.8000000,3000.0000000,2776.8000000,2833.2000000,8739115
YNDX,M,010620,000000,2849.6000000,3564.6000000,2814.4000000,3545.6000000,13750162
YNDX,M,010720,000000,3524.0000000,4267.6000000,3502.0000000,4257.0000000,13776427
YNDX,M,010820,000000,4261.0000000,5165.0000000,4135.2000000,5089.4000000,60169696
YNDX,M,010920,000000,5082.6000000,5653.2000000,4483.4000000,5062.0000000,53273780
YNDX,M,011020,000000,5072.4000000,5108.6000000,4263.6000000,4561.0000000,25108340
YNDX,M,011120,000000,4557.2000000,5418.4000000,4536.0000000,5278.0000000,20787260
YNDX,M,011220,000000,5308.2000000,5389.6000000,4952.6000000,5167.0000000,13514221
YNDX,M,010121,000000,5167.8000000,5389.4000000,4713.2000000,4760.6000000,14655795
YNDX,M,010221,000000,4786.4000000,5549.6000000,4728.6000000,4813.2000000,18354844
YNDX,M,010321,000000,4858.6000000,5177.8000000,4575.0000000,4859.0000000,23830721
YNDX,M,010421,000000,4886.0000000,5054.8000000,4510.0000000,4934.8000000,23937853
YNDX,M,010521,000000,4910.0000000,5020.0000000,4570.8000000,4942.0000000,14166766
YNDX,M,010621,000000,4950.0000000,5199.0000000,4861.2000000,5176.6000000,11644952
YNDX,M,010721,000000,5179.0000000,5410.0000000,4905.0000000,4970.4000000,10786328
YNDX,M,010821,000000,4994.0000000,5647.0000000,4910.0000000,5615.0000000,9844275
YNDX,M,010921,000000,5624.0000000,5990.4000000,5565.0000000,5804.6000000,11396709
YNDX,M,011021,000000,5774.0000000,5913.6000000,5241.4000000,5879.2000000,13659547
YNDX,M,011121,000000,5868.8000000,6217.0000000,5261.2000000,5359.4000000,16783998
YNDX,M,011221,000000,5412.0000000,5458.6000000,4237.2000000,4569.4000000,20227832
YNDX,M,010122,000000,4570.0000000,4631.8000000,3094.8000000,3717.6000000,49408856
YNDX,M,010222,000000,3715.0000000,4184.4000000,1700.0000000,1931.2000000,86355905
YNDX,M,010322,000000,2010.0000000,2290.0000000,1932.0000000,2259.0000000,5990595
YNDX,M,010422,000000,2299.4000000,2460.0000000,1500.0000000,1766.6000000,19465466
YNDX,M,010522,000000,1792.2000000,1813.6000000,1530.2000000,1567.8000000,4276203
YNDX,M,010622,000000,1567.0000000,1781.2000000,1333.0000000,1603.8000000,10104071
YNDX,M,010722,000000,1595.2000000,2170.0000000,1552.0000000,1952.0000000,13244683
YNDX,M,010822,000000,1948.0000000,2130.0000000,1811.2000000,2100.0000000,11087262
